Aruba;180
Afghanistan;652860
Angola;1246700
Albania;27400
Andorra;470
United Arab Emirates;71020
Argentina;2736690
Armenia;28470
American Samoa;200
Antigua and Barbuda;440
Australia;7692020
Austria;82520
Azerbaijan;82654
Burundi;25680
Belgium;30280
Benin;112760
Burkina Faso;273600
Bangladesh;130170
Bulgaria;108560
Bahrain;780
Bahamas, The;10010
Bosnia and Herzegovina;51200
Belarus;202980
Belize;22810
Bermuda;54
Bolivia;1083300
Brazil;8358140
Barbados;430
Brunei Darussalam;5270
Bhutan;38140
Botswana;566730
Central African Republic;622980
Canada;8965590
Switzerland;39516.03
Channel Islands;198
Chile;743532
China;9424702.9
Cote d'Ivoire;318000
Cameroon;472710
Congo, Dem. Rep.;2267050
Congo, Rep.;341500
Colombia;1109500
Comoros;1861
Cabo Verde;4030
Costa Rica;51060
Cuba;103800
Curacao;444
Cayman Islands;240
Cyprus;9240
Czech Republic;77200
Germany;349380
Djibouti;23180
Dominica;750
Denmark;40000
Dominican Republic;48310
Algeria;2381741
Ecuador;248360
Egypt, Arab Rep.;995450
Eritrea;101000
Spain;499603.479
Estonia;43470
Ethiopia;1129300.39
Finland;303920
Fiji;18270
France;547557
Faroe Islands;1396
Micronesia, Fed. Sts.;700
Gabon;257670
United Kingdom;241930
Georgia;69490
Ghana;227540
Gibraltar;10
Guinea;245720
Gambia, The;10120
Guinea-Bissau;28120
Equatorial Guinea;28050
Greece;128900
Grenada;340
Greenland;410450
Guatemala;107160
Guam;540
Guyana;196850
Hong Kong SAR, China;1050
Honduras;111890
Croatia;56590
Haiti;27560
Hungary;91260
Indonesia;1877519
Isle of Man;570
India;2973190
Ireland;68890
Iran, Islamic Rep.;1628760
Iraq;434128
Iceland;100830
Israel;21640
Italy;297730
Jamaica;10830
Jordan;88780
Japan;364500
Kazakhstan;2699700
Kenya;569140
Kyrgyz Republic;191800
Cambodia;176520
Kiribati;810
St. Kitts and Nevis;260
Korea, Rep.;97520
Kuwait;17820
Lao PDR;230800
Lebanon;10230
Liberia;96320
Libya;1759540
St. Lucia;610
Liechtenstein;160
Sri Lanka;61864
Lesotho;30360
Lithuania;62630
Luxembourg;2430
Latvia;62090
Macao SAR, China;32.9
St. Martin (French part);50
Morocco;446300
Monaco;2.027
Moldova;32885.3
Madagascar;581800
Maldives;300
Mexico;1943950
Marshall Islands;180
North Macedonia;25220
Mali;1220190
Malta;320
Myanmar;652790
Montenegro;13450
Mongolia;1557255
Northern Mariana Islands;460
Mozambique;786380
Mauritania;1030700
Mauritius;2030
Malawi;94280
Malaysia;328550
Namibia;823290
New Caledonia;18280
Niger;1266700
Nigeria;910770
Nicaragua;120340
Netherlands;33670
Norway;365107.85
Nepal;143350
Nauru;20
New Zealand;263310
Oman;309500
Pakistan;770880
Panama;74177
Peru;1280000
Philippines;298170
Palau;460
Papua New Guinea;452860
Poland;306170
Puerto Rico;8870
Korea, Dem. People's Rep.;120410
Portugal;91605.6
Paraguay;397300
French Polynesia;3520
Qatar;11490
Romania;230080
Russian Federation;16376870
Rwanda;24670
Saudi Arabia;2149690
Sudan;1849233.715
Senegal;192530
Singapore;709
Solomon Islands;27990
Sierra Leone;72180
El Salvador;20720
San Marino;60
Somalia;627340
Serbia;87460
South Sudan;631928.123
Sao Tome and Principe;960
Suriname;156000
Slovak Republic;48080
Slovenia;20136.4
Sweden;407310
Eswatini;17200
Sint Maarten (Dutch part);34
Seychelles;460
Syrian Arab Republic;183630
Turks and Caicos Islands;950
Chad;1259200
Togo;54390
Thailand;510890
Tajikistan;138790
Turkmenistan;469930
Timor-Leste;14870
Tonga;720
Trinidad and Tobago;5130
Tunisia;155360
Turkey;769630
Tuvalu;30
Tanzania;885800
Uganda;200520
Ukraine;579400
Uruguay;175020
United States;9147420
Uzbekistan;440555
St. Vincent and the Grenadines;390
Venezuela, RB;882050
British Virgin Islands;150
Virgin Islands (U.S.);350
Vietnam;310070
Vanuatu;12190
Samoa;2830
Kosovo;10887
Yemen, Rep.;527970
South Africa;1213090
Zambia;743390
Zimbabwe;386850
